Age,BusinessTravel,DistanceFromHome,Education,EducationField,EmployeeID,JobLevel,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Year,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,Attrition
50,Travel_Rarely,8,4,Life Sciences,22,1,Divorced,96670,3.0,23,0,28.0,2,10,1,6,2015,1.0,2.0,2.0,2,0
50,Travel_Rarely,8,4,Life Sciences,22,1,Divorced,96670,3.0,23,0,28.0,2,10,1,6,2016,1.0,2.0,2.0,2,0
53,Travel_Rarely,11,4,Life Sciences,23,2,Married,21480,3.0,11,0,21.0,2,5,1,3,2015,3.0,3.0,2.0,3,0
53,Travel_Rarely,11,4,Life Sciences,23,2,Married,21480,3.0,11,0,21.0,2,5,1,3,2016,3.0,3.0,2.0,3,0
42,Travel_Rarely,4,4,Life Sciences,24,1,Married,89260,1.0,14,0,10.0,4,20,11,6,2015,2.0,3.0,3.0,1,0
42,Travel_Rarely,4,4,Life Sciences,24,1,Married,89260,1.0,14,0,10.0,4,20,11,6,2016,2.0,3.0,3.0,1,0
29,Travel_Frequently,16,4,Medical,25,1,Single,65130,1.0,11,1,10.0,2,10,0,9,2015,2.0,4.0,2.0,3,0
29,Travel_Frequently,16,4,Medical,25,1,Single,65130,1.0,11,1,10.0,2,10,0,9,2016,2.0,4.0,2.0,3,0
55,Travel_Rarely,1,4,Other,26,1,Married,67990,3.0,11,0,12.0,2,10,0,8,2015,2.0,4.0,3.0,3,0
55,Travel_Rarely,1,4,Other,26,1,Married,67990,3.0,11,0,12.0,2,10,0,8,2016,2.0,4.0,3.0,3,0
26,Travel_Frequently,9,3,Life Sciences,27,1,Married,162910,1.0,22,0,5.0,3,5,3,3,2015,1.0,1.0,3.0,3,0
26,Travel_Frequently,9,3,Life Sciences,27,1,Married,162910,1.0,22,0,5.0,3,5,3,3,2016,1.0,1.0,3.0,3,0
37,Travel_Rarely,5,1,Marketing,28,1,Single,27050,1.0,11,0,17.0,2,17,5,7,2015,4.0,4.0,3.0,3,0
37,Travel_Rarely,5,1,Marketing,28,1,Single,27050,1.0,11,0,17.0,2,17,5,7,2016,4.0,4.0,3.0,3,0
44,Travel_Frequently,1,2,Medical,29,2,Divorced,103330,3.0,14,1,19.0,2,1,0,0,2015,4.0,3.0,1.0,2,1
38,Travel_Rarely,2,3,Marketing,30,1,Divorced,44480,9.0,12,0,10.0,3,2,1,2,2015,4.0,4.0,3.0,2,0
38,Travel_Rarely,2,3,Marketing,30,1,Divorced,44480,9.0,12,0,10.0,3,2,1,2,2016,4.0,4.0,3.0,2,0
26,Travel_Rarely,4,3,Medical,31,3,Divorced,68540,2.0,11,0,5.0,5,3,0,2,2015,1.0,2.0,3.0,2,1
28,Travel_Rarely,7,3,Other,32,1,Single,96370,1.0,13,0,5.0,6,5,0,2,2015,4.0,4.0,3.0,2,0
28,Travel_Rarely,7,3,Other,32,1,Single,96370,1.0,13,0,5.0,6,5,0,2,2016,4.0,4.0,3.0,2,0
49,Travel_Frequently,1,1,Medical,33,2,Single,35910,9.0,13,0,22.0,2,3,1,2,2015,3.0,1.0,3.0,3,0
49,Travel_Frequently,1,1,Medical,33,2,Single,35910,9.0,13,0,22.0,2,3,1,2,2016,3.0,1.0,3.0,3,0
36,Travel_Rarely,5,3,Technical Degree,34,3,Single,54050,4.0,14,0,10.0,2,8,7,7,2015,3.0,2.0,3.0,3,0
36,Travel_Rarely,5,3,Technical Degree,34,3,Single,54050,4.0,14,0,10.0,2,8,7,7,2016,3.0,2.0,3.0,3,0
31,Travel_Frequently,9,4,Medical,35,1,Divorced,46840,1.0,16,1,2.0,4,2,2,2,2015,4.0,2.0,2.0,3,0
31,Travel_Frequently,9,4,Medical,35,1,Divorced,46840,1.0,16,1,2.0,4,2,2,2,2016,4.0,2.0,2.0,3,0
26,Travel_Rarely,8,3,Medical,36,2,Single,157870,1.0,12,2,8.0,5,8,7,4,2015,4.0,4.0,3.0,3,1
37,Travel_Frequently,9,1,Marketing,37,1,Married,15140,1.0,14,0,4.0,3,4,1,2,2015,2.0,4.0,2.0,3,0
37,Travel_Frequently,9,1,Marketing,37,1,Married,15140,1.0,14,0,4.0,3,4,1,2,2016,2.0,4.0,2.0,3,0
42,Travel_Frequently,2,2,Marketing,38,3,Married,29560,5.0,13,0,23.0,2,20,4,8,2015,3.0,2.0,4.0,3,0
42,Travel_Frequently,2,2,Marketing,38,3,Married,29560,5.0,13,0,23.0,2,20,4,8,2016,3.0,2.0,4.0,3,0
18,Travel_Rarely,1,4,Life Sciences,39,1,Single,23350,1.0,14,2,0.0,3,0,0,0,2015,3.0,3.0,3.0,2,1
35,Travel_Rarely,20,2,Life Sciences,40,1,Married,51540,0.0,19,0,12.0,2,11,6,9,2015,3.0,2.0,2.0,2,0
35,Travel_Rarely,20,2,Life Sciences,40,1,Married,51540,0.0,19,0,12.0,2,11,6,9,2016,3.0,2.0,2.0,2,0
36,Travel_Frequently,8,3,Other,41,3,Married,69620,4.0,12,2,4.0,2,1,0,0,2015,3.0,3.0,3.0,2,0
36,Travel_Frequently,8,3,Other,41,3,Married,69620,4.0,12,2,4.0,2,1,0,0,2016,3.0,3.0,3.0,2,0
51,Travel_Rarely,2,3,Life Sciences,42,2,Divorced,56750,5.0,13,0,13.0,2,4,1,2,2015,4.0,2.0,3.0,2,0
51,Travel_Rarely,2,3,Life Sciences,42,2,Divorced,56750,5.0,13,0,13.0,2,4,1,2,2016,4.0,2.0,3.0,2,0
41,Travel_Rarely,29,1,Life Sciences,43,1,Single,23790,1.0,12,0,22.0,6,22,0,4,2015,4.0,2.0,3.0,3,0
41,Travel_Rarely,29,1,Life Sciences,43,1,Single,23790,1.0,12,0,22.0,6,22,0,4,2016,4.0,2.0,3.0,3,0
18,Travel_Rarely,7,3,Life Sciences,44,1,Single,38120,1.0,15,0,0.0,3,0,0,0,2015,4.0,3.0,3.0,3,0
18,Travel_Rarely,7,3,Life Sciences,44,1,Single,38120,1.0,15,0,0.0,3,0,0,0,2016,4.0,3.0,3.0,3,0
28,Travel_Rarely,9,3,Medical,45,1,Single,46480,0.0,23,2,9.0,2,8,0,7,2015,2.0,1.0,3.0,2,0
28,Travel_Rarely,9,3,Medical,45,1,Single,46480,0.0,23,2,9.0,2,8,0,7,2016,2.0,1.0,3.0,2,0
31,Travel_Rarely,8,1,Technical Degree,46,1,Married,29360,4.0,12,1,10.0,2,8,7,7,2015,2.0,4.0,2.0,3,0
31,Travel_Rarely,8,1,Technical Degree,46,1,Married,29360,4.0,12,1,10.0,2,8,7,7,2016,2.0,4.0,2.0,3,0
39,Travel_Rarely,5,4,Marketing,47,2,Divorced,21050,0.0,20,0,19.0,3,18,3,7,2015,3.0,4.0,2.0,3,0
39,Travel_Rarely,5,4,Marketing,47,2,Divorced,21050,0.0,20,0,19.0,3,18,3,7,2016,3.0,4.0,2.0,3,0
36,Non-Travel,5,4,Life Sciences,48,1,Married,85780,7.0,21,0,11.0,4,9,0,8,2015,2.0,2.0,3.0,3,0
36,Non-Travel,5,4,Life Sciences,48,1,Married,85780,7.0,21,0,11.0,4,9,0,8,2016,2.0,2.0,3.0,3,0
32,Travel_Rarely,2,3,Marketing,49,2,Married,27060,1.0,21,1,13.0,4,13,4,8,2015,4.0,3.0,2.0,3,0
32,Travel_Rarely,2,3,Marketing,49,2,Married,27060,1.0,21,1,13.0,4,13,4,8,2016,4.0,3.0,2.0,3,0
38,Travel_Rarely,5,2,Life Sciences,50,3,Married,63840,3.0,19,2,19.0,4,10,0,1,2015,1.0,2.0,3.0,2,0
38,Travel_Rarely,5,2,Life Sciences,50,3,Married,63840,3.0,19,2,19.0,4,10,0,1,2016,1.0,2.0,3.0,2,0
58,Non-Travel,2,3,Life Sciences,51,2,Divorced,39680,2.0,13,2,12.0,3,5,1,2,2015,4.0,3.0,3.0,2,0
58,Non-Travel,2,3,Life Sciences,51,2,Divorced,39680,2.0,13,2,12.0,3,5,1,2,2016,4.0,3.0,3.0,2,0
31,Travel_Rarely,20,1,Technical Degree,52,3,Married,99070,0.0,13,1,6.0,3,5,0,3,2015,3.0,4.0,3.0,2,0
31,Travel_Rarely,20,1,Technical Degree,52,3,Married,99070,0.0,13,1,6.0,3,5,0,3,2016,3.0,4.0,3.0,2,0
31,Travel_Rarely,7,4,Marketing,53,2,Married,132250,3.0,21,1,9.0,2,2,1,0,2015,1.0,1.0,3.0,3,0
31,Travel_Rarely,7,4,Marketing,53,2,Married,132250,3.0,21,1,9.0,2,2,1,0,2016,1.0,1.0,3.0,3,0
45,Travel_Frequently,3,1,Medical,54,1,Divorced,35400,1.0,13,0,24.0,6,24,9,11,2015,1.0,1.0,3.0,3,0
45,Travel_Frequently,3,1,Medical,54,1,Divorced,35400,1.0,13,0,24.0,6,24,9,11,2016,1.0,1.0,3.0,3,0
31,Travel_Rarely,16,4,Marketing,55,2,Divorced,28040,0.0,19,2,3.0,0,2,2,2,2015,3.0,4.0,1.0,3,0
31,Travel_Rarely,16,4,Marketing,55,2,Divorced,28040,0.0,19,2,3.0,0,2,2,2,2016,3.0,4.0,1.0,3,0
33,Travel_Frequently,9,3,Life Sciences,56,4,Married,193920,6.0,12,1,12.0,3,10,8,8,2015,4.0,2.0,3.0,3,0
33,Travel_Frequently,9,3,Life Sciences,56,4,Married,193920,6.0,12,1,12.0,3,10,8,8,2016,4.0,2.0,3.0,3,0
39,Travel_Rarely,1,4,Life Sciences,57,1,Married,196650,1.0,22,1,21.0,6,21,11,10,2015,3.0,1.0,3.0,3,0
39,Travel_Rarely,1,4,Life Sciences,57,1,Married,196650,1.0,22,1,21.0,6,21,11,10,2016,3.0,1.0,3.0,3,0
43,Travel_Frequently,7,4,Medical,58,4,Single,24390,0.0,15,0,9.0,2,8,1,7,2015,3.0,4.0,3.0,3,0
43,Travel_Frequently,7,4,Medical,58,4,Single,24390,0.0,15,0,9.0,2,8,1,7,2016,3.0,4.0,3.0,3,0
49,Travel_Rarely,1,3,Life Sciences,59,3,Single,73140,7.0,22,0,25.0,2,7,0,7,2015,3.0,3.0,3.0,3,0
49,Travel_Rarely,1,3,Life Sciences,59,3,Single,73140,7.0,22,0,25.0,2,7,0,7,2016,3.0,3.0,3.0,3,0
52,Travel_Rarely,7,1,Life Sciences,60,2,Married,47740,2.0,18,1,11.0,2,8,7,7,2015,3.0,2.0,2.0,3,1
27,Travel_Rarely,15,4,Medical,61,3,Single,39020,1.0,22,0,4.0,2,4,1,2,2015,3.0,2.0,2.0,3,0
27,Travel_Rarely,15,4,Medical,61,3,Single,39020,1.0,22,0,4.0,2,4,1,2,2016,3.0,2.0,2.0,3,0
32,Travel_Rarely,1,3,Life Sciences,62,3,Married,26620,1.0,11,1,13.0,6,13,11,9,2015,3.0,2.0,3.0,4,0
32,Travel_Rarely,1,3,Life Sciences,62,3,Married,26620,1.0,11,1,13.0,6,13,11,9,2016,3.0,2.0,3.0,4,0
27,Travel_Rarely,13,2,Medical,63,4,Single,28560,1.0,12,2,5.0,5,5,0,4,2015,4.0,3.0,3.0,4,0
27,Travel_Rarely,13,2,Medical,63,4,Single,28560,1.0,12,2,5.0,5,5,0,4,2016,4.0,3.0,3.0,4,0
31,Travel_Rarely,24,3,Life Sciences,64,2,Divorced,10810,4.0,11,3,13.0,4,7,1,7,2015,4.0,4.0,3.0,4,0
31,Travel_Rarely,24,3,Life Sciences,64,2,Divorced,10810,4.0,11,3,13.0,4,7,1,7,2016,4.0,4.0,3.0,4,0
32,Travel_Rarely,7,3,Technical Degree,65,2,Single,24720,7.0,13,0,10.0,2,7,0,7,2015,1.0,4.0,2.0,3,0
32,Travel_Rarely,7,3,Technical Degree,65,2,Single,24720,7.0,13,0,10.0,2,7,0,7,2016,1.0,4.0,2.0,3,0
28,Travel_Rarely,9,4,Medical,66,1,Married,56730,5.0,14,1,5.0,4,3,2,2,2015,1.0,4.0,2.0,2,1
30,Travel_Rarely,13,3,Life Sciences,67,4,Married,41970,1.0,13,0,11.0,3,10,1,9,2015,4.0,4.0,3.0,3,0
30,Travel_Rarely,13,3,Life Sciences,67,4,Married,41970,1.0,13,0,11.0,3,10,1,9,2016,4.0,4.0,3.0,3,0
31,Travel_Frequently,2,1,Life Sciences,68,1,Married,97130,1.0,17,0,10.0,5,10,8,9,2015,3.0,3.0,3.0,2,0
31,Travel_Frequently,2,1,Life Sciences,68,1,Married,97130,1.0,17,0,10.0,5,10,8,9,2016,3.0,3.0,3.0,2,0
39,Travel_Frequently,19,4,Medical,69,1,Married,20620,1.0,13,0,21.0,4,21,13,3,2015,3.0,4.0,3.0,3,0
39,Travel_Frequently,19,4,Medical,69,1,Married,20620,1.0,13,0,21.0,4,21,13,3,2016,3.0,4.0,3.0,3,0
39,Travel_Rarely,1,1,Medical,70,1,Married,42840,4.0,17,1,12.0,0,1,0,0,2015,4.0,3.0,2.0,3,1
33,Travel_Frequently,4,2,Life Sciences,71,4,Single,47880,3.0,11,1,9.0,0,7,0,1,2015,2.0,4.0,2.0,3,0
33,Travel_Frequently,4,2,Life Sciences,71,4,Single,47880,3.0,11,1,9.0,0,7,0,1,2016,2.0,4.0,2.0,3,0
47,Travel_Rarely,4,3,Life Sciences,72,2,Married,59060,4.0,23,0,21.0,4,3,1,1,2015,4.0,3.0,3.0,4,0
47,Travel_Rarely,4,3,Life Sciences,72,2,Married,59060,4.0,23,0,21.0,4,3,1,1,2016,4.0,3.0,3.0,4,0
43,Travel_Frequently,14,3,Medical,73,5,Divorced,38860,1.0,17,2,9.0,2,9,0,0,2015,3.0,3.0,4.0,3,0
43,Travel_Frequently,14,3,Medical,73,5,Divorced,38860,1.0,17,2,9.0,2,9,0,0,2016,3.0,3.0,4.0,3,0
27,Non-Travel,2,3,Life Sciences,74,1,Married,168230,0.0,17,0,6.0,3,5,1,4,2015,3.0,2.0,3.0,3,0
27,Non-Travel,2,3,Life Sciences,74,1,Married,168230,0.0,17,0,6.0,3,5,1,4,2016,3.0,2.0,3.0,3,0
54,Travel_Frequently,1,4,Life Sciences,75,2,Single,29330,3.0,12,2,20.0,2,4,0,3,2015,4.0,3.0,2.0,3,0
54,Travel_Frequently,1,4,Life Sciences,75,2,Single,29330,3.0,12,2,20.0,2,4,0,3,2016,4.0,3.0,2.0,3,0
43,Travel_Rarely,7,2,Life Sciences,76,2,Married,65000,8.0,23,0,10.0,3,1,0,0,2015,3.0,1.0,2.0,3,0
43,Travel_Rarely,7,2,Life Sciences,76,2,Married,65000,8.0,23,0,10.0,3,1,0,0,2016,3.0,1.0,2.0,3,0
45,Travel_Rarely,3,1,Marketing,77,1,Married,171740,9.0,14,1,12.0,6,10,9,8,2015,4.0,4.0,3.0,3,0
45,Travel_Rarely,3,1,Marketing,77,1,Married,171740,9.0,14,1,12.0,6,10,9,8,2016,4.0,4.0,3.0,3,0
40,Travel_Rarely,2,4,Other,78,4,Married,50330,2.0,14,2,6.0,6,4,0,2,2015,2.0,4.0,2.0,3,0
40,Travel_Rarely,2,4,Other,78,4,Married,50330,2.0,14,2,6.0,6,4,0,2,2016,2.0,4.0,2.0,3,0
29,Travel_Rarely,29,3,Medical,79,1,Married,23070,1.0,13,1,7.0,0,7,0,7,2015,2.0,1.0,2.0,3,1
29,Travel_Rarely,8,3,Medical,80,3,Single,25870,0.0,22,2,4.0,3,3,2,2,2015,2.0,4.0,3.0,3,0
29,Travel_Rarely,8,3,Medical,80,3,Single,25870,0.0,22,2,4.0,3,3,2,2,2016,2.0,4.0,3.0,3,0
30,Travel_Rarely,10,3,Life Sciences,81,2,Divorced,55070,1.0,12,2,10.0,2,10,1,2,2015,4.0,3.0,3.0,2,0
30,Travel_Rarely,10,3,Life Sciences,81,2,Divorced,55070,1.0,12,2,10.0,2,10,1,2,2016,4.0,3.0,3.0,2,0
27,Travel_Rarely,11,2,Medical,82,1,Married,43930,1.0,18,1,8.0,2,8,0,7,2015,2.0,2.0,3.0,2,0
27,Travel_Rarely,11,2,Medical,82,1,Married,43930,1.0,18,1,8.0,2,8,0,7,2016,2.0,2.0,3.0,2,0
37,Travel_Rarely,1,4,Life Sciences,83,2,Divorced,133480,7.0,14,0,8.0,4,6,0,4,2015,4.0,4.0,2.0,3,0
37,Travel_Rarely,1,4,Life Sciences,83,2,Divorced,133480,7.0,14,0,8.0,4,6,0,4,2016,4.0,4.0,2.0,3,0
38,Travel_Rarely,28,4,Medical,84,1,Divorced,65830,0.0,12,0,12.0,1,11,2,9,2015,3.0,4.0,3.0,3,0
38,Travel_Rarely,28,4,Medical,84,1,Divorced,65830,0.0,12,0,12.0,1,11,2,9,2016,3.0,4.0,3.0,3,0
31,Travel_Rarely,6,3,Medical,85,3,Single,81030,1.0,15,1,11.0,5,11,4,10,2015,3.0,4.0,3.0,3,0
31,Travel_Rarely,6,3,Medical,85,3,Single,81030,1.0,15,1,11.0,5,11,4,10,2016,3.0,4.0,3.0,3,0
29,Travel_Rarely,3,4,Life Sciences,86,3,Divorced,39780,1.0,11,0,7.0,0,7,1,7,2015,4.0,2.0,3.0,3,0
29,Travel_Rarely,3,4,Life Sciences,86,3,Divorced,39780,1.0,11,0,7.0,0,7,1,7,2016,4.0,2.0,3.0,3,0
35,Travel_Rarely,16,2,Technical Degree,87,3,Single,25440,0.0,13,1,17.0,3,16,0,13,2015,3.0,2.0,3.0,4,0
35,Travel_Rarely,16,2,Technical Degree,87,3,Single,25440,0.0,13,1,17.0,3,16,0,13,2016,3.0,2.0,3.0,4,0
23,Travel_Rarely,20,4,Life Sciences,88,1,Divorced,53990,1.0,23,0,4.0,2,4,0,2,2015,3.0,4.0,2.0,2,0
23,Travel_Rarely,20,4,Life Sciences,88,1,Divorced,53990,1.0,23,0,4.0,2,4,0,2,2016,3.0,4.0,2.0,2,0
41,Travel_Rarely,9,2,Life Sciences,89,1,Single,54870,6.0,19,2,8.0,0,5,1,2,2015,4.0,2.0,3.0,3,0
41,Travel_Rarely,9,2,Life Sciences,89,1,Single,54870,6.0,19,2,8.0,0,5,1,2,2016,4.0,2.0,3.0,3,0
47,Travel_Frequently,1,3,Medical,90,2,Single,68340,3.0,16,1,5.0,2,0,0,0,2015,2.0,3.0,3.0,4,0
47,Travel_Frequently,1,3,Medical,90,2,Single,68340,3.0,16,1,5.0,2,0,0,0,2016,2.0,3.0,3.0,4,0
42,Travel_Rarely,3,4,Life Sciences,91,1,Single,10910,2.0,22,0,16.0,0,1,0,0,2015,1.0,4.0,3.0,1,0
42,Travel_Rarely,3,4,Life Sciences,91,1,Single,10910,2.0,22,0,16.0,0,1,0,0,2016,1.0,4.0,3.0,1,0
29,Non-Travel,22,4,Marketing,92,2,Married,57360,1.0,22,0,4.0,1,4,0,2,2015,4.0,3.0,2.0,2,0
29,Non-Travel,22,4,Marketing,92,2,Married,57360,1.0,22,0,4.0,1,4,0,2,2016,4.0,3.0,2.0,2,0
42,Travel_Rarely,7,4,Medical,93,3,Divorced,22260,0.0,12,1,4.0,3,3,1,0,2015,3.0,3.0,3.0,2,0
42,Travel_Rarely,7,4,Medical,93,3,Divorced,22260,0.0,12,1,4.0,3,3,1,0,2016,3.0,3.0,3.0,2,0
32,Travel_Rarely,2,3,Medical,94,2,Married,57470,1.0,13,0,8.0,0,8,0,7,2015,3.0,2.0,3.0,3,0
32,Travel_Rarely,2,3,Medical,94,2,Married,57470,1.0,13,0,8.0,0,8,0,7,2016,3.0,2.0,3.0,3,0
48,Travel_Rarely,13,4,Medical,95,4,Married,98540,3.0,16,1,15.0,2,0,0,0,2015,1.0,3.0,1.0,2,0
48,Travel_Rarely,13,4,Medical,95,4,Married,98540,3.0,16,1,15.0,2,0,0,0,2016,1.0,3.0,1.0,2,0
37,Travel_Rarely,8,5,Technical Degree,96,2,Divorced,54670,4.0,12,0,13.0,2,7,6,7,2015,3.0,1.0,3.0,3,0
37,Travel_Rarely,8,5,Technical Degree,96,2,Divorced,54670,4.0,12,0,13.0,2,7,6,7,2016,3.0,1.0,3.0,3,0
30,Non-Travel,25,4,Other,97,1,Married,53800,7.0,21,1,4.0,0,2,2,2,2015,4.0,3.0,4.0,3,0
30,Non-Travel,25,4,Other,97,1,Married,53800,7.0,21,1,4.0,0,2,2,2,2016,4.0,3.0,4.0,3,0
26,Travel_Rarely,28,3,Medical,98,5,Married,51510,1.0,15,3,8.0,3,8,7,7,2015,3.0,3.0,3.0,3,0
26,Travel_Rarely,28,3,Medical,98,5,Married,51510,1.0,15,3,8.0,3,8,7,7,2016,3.0,3.0,3.0,3,0
42,Travel_Rarely,2,2,Medical,99,1,Single,21330,3.0,13,2,14.0,2,1,0,0,2015,1.0,4.0,3.0,3,0
42,Travel_Rarely,2,2,Medical,99,1,Single,21330,3.0,13,2,14.0,2,1,0,0,2016,1.0,4.0,3.0,3,0
21,Travel_Frequently,9,3,Medical,100,4,Single,178750,1.0,12,0,3.0,5,3,1,2,2015,1.0,2.0,3.0,2,1
36,Non-Travel,28,3,Human Resources,101,2,Single,24320,4.0,22,0,7.0,4,1,0,0,2015,4.0,4.0,3.0,1,0
36,Non-Travel,28,3,Human Resources,101,2,Single,24320,4.0,22,0,7.0,4,1,0,0,2016,4.0,4.0,3.0,1,0
36,Travel_Frequently,6,3,Life Sciences,102,2,Married,47710,4.0,13,1,16.0,2,13,1,12,2015,1.0,4.0,3.0,3,0
36,Travel_Frequently,6,3,Life Sciences,102,2,Married,47710,4.0,13,1,16.0,2,13,1,12,2016,1.0,4.0,3.0,3,0
57,Travel_Rarely,21,4,Life Sciences,103,5,Married,191610,2.0,18,0,15.0,2,3,1,2,2015,4.0,3.0,3.0,1,0
57,Travel_Rarely,21,4,Life Sciences,103,5,Married,191610,2.0,18,0,15.0,2,3,1,2,2016,4.0,3.0,3.0,1,0
