EmployeeID,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,DateSurvey
111,3.0,3.0,3.0,2015-12-31
112,,2.0,3.0,2015-12-31
113,3.0,2.0,3.0,2015-12-31
114,4.0,4.0,3.0,2015-12-31
115,3.0,2.0,3.0,2015-12-31
116,4.0,2.0,3.0,2015-12-31
117,2.0,4.0,3.0,2015-12-31
118,2.0,3.0,3.0,2015-12-31
119,3.0,4.0,2.0,2015-12-31
120,4.0,3.0,3.0,2015-12-31
121,1.0,4.0,2.0,2015-12-31
122,3.0,4.0,3.0,2015-12-31
123,4.0,3.0,4.0,2015-12-31
124,3.0,2.0,3.0,2015-12-31
125,3.0,,3.0,2015-12-31
126,1.0,2.0,3.0,2015-12-31
127,2.0,3.0,3.0,2015-12-31
128,3.0,4.0,3.0,2015-12-31
129,4.0,1.0,2.0,2015-12-31
130,4.0,2.0,3.0,2015-12-31
131,2.0,1.0,3.0,2015-12-31
132,3.0,2.0,2.0,2015-12-31
133,1.0,2.0,3.0,2015-12-31
134,2.0,3.0,3.0,2015-12-31
135,1.0,1.0,2.0,2015-12-31
136,3.0,3.0,3.0,2015-12-31
137,2.0,1.0,1.0,2015-12-31
138,4.0,4.0,3.0,2015-12-31
139,3.0,3.0,3.0,2015-12-31
140,2.0,4.0,3.0,2015-12-31
141,2.0,3.0,3.0,2015-12-31
142,4.0,1.0,3.0,2015-12-31
143,2.0,3.0,3.0,2015-12-31
144,3.0,1.0,2.0,2015-12-31
145,2.0,3.0,3.0,2015-12-31
146,2.0,1.0,3.0,2015-12-31
147,3.0,1.0,3.0,2015-12-31
148,1.0,1.0,3.0,2015-12-31
149,4.0,3.0,3.0,2015-12-31
150,1.0,4.0,2.0,2015-12-31
151,4.0,4.0,1.0,2015-12-31
152,1.0,3.0,3.0,2015-12-31
153,3.0,4.0,3.0,2015-12-31
154,1.0,1.0,1.0,2015-12-31
155,3.0,3.0,2.0,2015-12-31
156,4.0,4.0,4.0,2015-12-31
157,1.0,2.0,3.0,2015-12-31
158,4.0,3.0,2.0,2015-12-31
159,4.0,4.0,3.0,2015-12-31
160,3.0,3.0,3.0,2015-12-31
161,1.0,4.0,1.0,2015-12-31
162,3.0,4.0,1.0,2015-12-31
163,2.0,3.0,3.0,2015-12-31
164,3.0,2.0,4.0,2015-12-31
165,1.0,4.0,4.0,2015-12-31
166,3.0,1.0,3.0,2015-12-31
167,1.0,4.0,2.0,2015-12-31
168,2.0,3.0,3.0,2015-12-31
169,3.0,4.0,2.0,2015-12-31
170,3.0,1.0,4.0,2015-12-31
171,1.0,4.0,3.0,2015-12-31
172,1.0,3.0,1.0,2015-12-31
173,4.0,3.0,3.0,2015-12-31
174,3.0,3.0,3.0,2015-12-31
175,4.0,3.0,3.0,2015-12-31
176,3.0,4.0,3.0,2015-12-31
177,3.0,2.0,4.0,2015-12-31
178,2.0,3.0,4.0,2015-12-31
179,1.0,4.0,3.0,2015-12-31
180,4.0,2.0,3.0,2015-12-31
181,4.0,3.0,3.0,2015-12-31
182,1.0,3.0,3.0,2015-12-31
183,2.0,1.0,3.0,2015-12-31
184,2.0,3.0,3.0,2015-12-31
185,2.0,4.0,2.0,2015-12-31
186,3.0,3.0,3.0,2015-12-31
187,2.0,4.0,3.0,2015-12-31
188,1.0,2.0,3.0,2015-12-31
189,4.0,4.0,3.0,2015-12-31
190,2.0,3.0,3.0,2015-12-31
191,2.0,3.0,3.0,2015-12-31
192,3.0,3.0,3.0,2015-12-31
193,2.0,4.0,4.0,2015-12-31
194,4.0,1.0,2.0,2015-12-31
195,4.0,2.0,4.0,2015-12-31
196,,3.0,2.0,2015-12-31
197,4.0,4.0,4.0,2015-12-31
198,1.0,3.0,3.0,2015-12-31
199,3.0,4.0,2.0,2015-12-31
200,2.0,2.0,3.0,2015-12-31
201,3.0,1.0,3.0,2015-12-31
202,1.0,3.0,3.0,2015-12-31
203,1.0,3.0,3.0,2015-12-31
204,1.0,3.0,3.0,2015-12-31
205,4.0,4.0,3.0,2015-12-31
206,3.0,4.0,1.0,2015-12-31
207,2.0,4.0,4.0,2015-12-31
208,1.0,3.0,2.0,2015-12-31
209,2.0,1.0,3.0,2015-12-31
210,1.0,2.0,3.0,2015-12-31
211,4.0,1.0,3.0,2015-12-31
212,4.0,3.0,3.0,2015-12-31
213,4.0,4.0,3.0,2015-12-31
214,3.0,3.0,3.0,2015-12-31
215,2.0,2.0,2.0,2015-12-31
216,4.0,3.0,3.0,2015-12-31
217,2.0,4.0,3.0,2015-12-31
218,1.0,2.0,4.0,2015-12-31
219,4.0,2.0,3.0,2015-12-31
220,1.0,2.0,3.0,2015-12-31
221,2.0,3.0,3.0,2015-12-31
222,1.0,3.0,3.0,2015-12-31
223,2.0,1.0,4.0,2015-12-31
224,2.0,4.0,3.0,2015-12-31
225,2.0,1.0,1.0,2015-12-31
226,1.0,4.0,3.0,2015-12-31
227,1.0,4.0,4.0,2015-12-31
228,1.0,3.0,2.0,2015-12-31
229,4.0,3.0,2.0,2015-12-31
230,4.0,2.0,4.0,2015-12-31
231,3.0,4.0,3.0,2015-12-31
232,2.0,4.0,2.0,2015-12-31
233,3.0,1.0,2.0,2015-12-31
234,4.0,3.0,3.0,2015-12-31
235,4.0,1.0,1.0,2015-12-31
236,1.0,3.0,4.0,2015-12-31
237,3.0,3.0,3.0,2015-12-31
238,3.0,1.0,3.0,2015-12-31
239,3.0,3.0,3.0,2015-12-31
240,4.0,4.0,4.0,2015-12-31
241,1.0,3.0,3.0,2015-12-31
242,3.0,3.0,3.0,2015-12-31
243,1.0,4.0,2.0,2015-12-31
244,3.0,3.0,3.0,2015-12-31
245,4.0,1.0,4.0,2015-12-31
246,2.0,4.0,2.0,2015-12-31
247,1.0,1.0,3.0,2015-12-31
248,3.0,4.0,3.0,2015-12-31
249,3.0,3.0,3.0,2015-12-31
250,2.0,3.0,2.0,2015-12-31
251,2.0,4.0,3.0,2015-12-31
252,3.0,4.0,1.0,2015-12-31
253,3.0,2.0,4.0,2015-12-31
254,2.0,2.0,3.0,2015-12-31
255,1.0,4.0,3.0,2015-12-31
256,4.0,3.0,3.0,2015-12-31
257,1.0,1.0,3.0,2015-12-31
258,3.0,3.0,3.0,2015-12-31
259,1.0,1.0,4.0,2015-12-31
260,4.0,2.0,3.0,2015-12-31
261,4.0,4.0,3.0,2015-12-31
262,2.0,4.0,3.0,2015-12-31
263,2.0,2.0,3.0,2015-12-31
264,4.0,4.0,3.0,2015-12-31
265,4.0,4.0,3.0,2015-12-31
266,4.0,3.0,3.0,2015-12-31
267,4.0,2.0,4.0,2015-12-31
268,1.0,3.0,3.0,2015-12-31
269,4.0,3.0,3.0,2015-12-31
270,4.0,4.0,2.0,2015-12-31
271,2.0,3.0,3.0,2015-12-31
272,2.0,4.0,2.0,2015-12-31
273,3.0,1.0,3.0,2015-12-31
274,3.0,4.0,,2015-12-31
275,4.0,1.0,3.0,2015-12-31
276,4.0,1.0,3.0,2015-12-31
277,3.0,3.0,3.0,2015-12-31
278,2.0,4.0,2.0,2015-12-31
279,1.0,1.0,3.0,2015-12-31
280,4.0,1.0,2.0,2015-12-31
281,4.0,3.0,3.0,2015-12-31
282,4.0,2.0,3.0,2015-12-31
283,1.0,2.0,3.0,2015-12-31
284,1.0,1.0,3.0,2015-12-31
285,3.0,3.0,4.0,2015-12-31
286,1.0,3.0,3.0,2015-12-31
287,4.0,3.0,2.0,2015-12-31
288,3.0,4.0,2.0,2015-12-31
289,3.0,3.0,3.0,2015-12-31
290,3.0,3.0,3.0,2015-12-31
291,4.0,4.0,3.0,2015-12-31
292,2.0,3.0,3.0,2015-12-31
293,2.0,1.0,4.0,2015-12-31
294,3.0,2.0,1.0,2015-12-31
295,3.0,4.0,2.0,2015-12-31
296,4.0,4.0,2.0,2015-12-31
297,4.0,1.0,1.0,2015-12-31
298,4.0,2.0,3.0,2015-12-31
299,4.0,4.0,3.0,2015-12-31
300,4.0,1.0,4.0,2015-12-31
301,,4.0,3.0,2015-12-31
302,4.0,3.0,1.0,2015-12-31
303,2.0,1.0,3.0,2015-12-31
304,3.0,1.0,4.0,2015-12-31
305,4.0,4.0,2.0,2015-12-31
306,3.0,4.0,2.0,2015-12-31
307,2.0,3.0,3.0,2015-12-31
308,1.0,3.0,3.0,2015-12-31
309,2.0,3.0,3.0,2015-12-31
310,4.0,4.0,3.0,2015-12-31
311,4.0,1.0,3.0,2015-12-31
312,1.0,1.0,3.0,2015-12-31
313,4.0,4.0,3.0,2015-12-31
314,1.0,,3.0,2015-12-31
315,2.0,3.0,2.0,2015-12-31
316,4.0,1.0,2.0,2015-12-31
317,2.0,4.0,3.0,2015-12-31
318,4.0,1.0,3.0,2015-12-31
319,3.0,4.0,3.0,2015-12-31
320,4.0,1.0,2.0,2015-12-31
321,1.0,1.0,3.0,2015-12-31
322,3.0,1.0,3.0,2015-12-31
323,1.0,4.0,2.0,2015-12-31
324,4.0,3.0,3.0,2015-12-31
325,3.0,2.0,3.0,2015-12-31
326,3.0,1.0,3.0,2015-12-31
327,2.0,4.0,2.0,2015-12-31
328,3.0,1.0,3.0,2015-12-31
329,3.0,2.0,3.0,2015-12-31
330,4.0,3.0,3.0,2015-12-31
331,3.0,3.0,3.0,2015-12-31
332,2.0,1.0,3.0,2015-12-31
333,3.0,3.0,4.0,2015-12-31
334,1.0,1.0,3.0,2015-12-31
335,3.0,4.0,2.0,2015-12-31
336,3.0,2.0,3.0,2015-12-31
337,3.0,3.0,3.0,2015-12-31
338,4.0,2.0,3.0,2015-12-31
339,4.0,3.0,3.0,2015-12-31
340,4.0,4.0,3.0,2015-12-31
341,3.0,3.0,2.0,2015-12-31
342,3.0,2.0,3.0,2015-12-31
343,3.0,3.0,3.0,2015-12-31
344,1.0,3.0,3.0,2015-12-31
345,3.0,4.0,2.0,2015-12-31
346,2.0,3.0,3.0,2015-12-31
347,2.0,2.0,2.0,2015-12-31
348,1.0,1.0,2.0,2015-12-31
349,3.0,4.0,3.0,2015-12-31
350,3.0,4.0,4.0,2015-12-31
351,3.0,4.0,2.0,2015-12-31
352,2.0,1.0,3.0,2015-12-31
353,3.0,4.0,3.0,2015-12-31
354,3.0,3.0,4.0,2015-12-31
355,2.0,2.0,3.0,2015-12-31
356,3.0,4.0,1.0,2015-12-31
357,3.0,3.0,3.0,2015-12-31
358,4.0,4.0,2.0,2015-12-31
359,1.0,3.0,2.0,2015-12-31
360,4.0,2.0,2.0,2015-12-31
361,1.0,1.0,2.0,2015-12-31
362,1.0,1.0,3.0,2015-12-31
363,3.0,1.0,2.0,2015-12-31
364,2.0,4.0,2.0,2015-12-31
365,2.0,4.0,2.0,2015-12-31
366,2.0,4.0,2.0,2015-12-31
367,1.0,4.0,3.0,2015-12-31
368,4.0,1.0,3.0,2015-12-31
369,3.0,3.0,2.0,2015-12-31
370,3.0,4.0,3.0,2015-12-31
371,4.0,3.0,3.0,2015-12-31
372,2.0,4.0,3.0,2015-12-31
373,4.0,4.0,1.0,2015-12-31
374,1.0,4.0,2.0,2015-12-31
375,2.0,4.0,3.0,2015-12-31
376,1.0,1.0,3.0,2015-12-31
377,3.0,1.0,3.0,2015-12-31
378,4.0,3.0,3.0,2015-12-31
379,4.0,2.0,2.0,2015-12-31
380,4.0,4.0,3.0,2015-12-31
381,3.0,1.0,4.0,2015-12-31
382,3.0,1.0,3.0,2015-12-31
383,1.0,4.0,2.0,2015-12-31
384,2.0,2.0,3.0,2015-12-31
385,2.0,2.0,3.0,2015-12-31
386,3.0,4.0,2.0,2015-12-31
387,4.0,4.0,3.0,2015-12-31
388,2.0,3.0,3.0,2015-12-31
389,1.0,4.0,3.0,2015-12-31
390,4.0,2.0,3.0,2015-12-31
391,3.0,4.0,3.0,2015-12-31
392,4.0,4.0,3.0,2015-12-31
393,4.0,4.0,2.0,2015-12-31
394,3.0,4.0,3.0,2015-12-31
395,1.0,2.0,3.0,2015-12-31
396,1.0,1.0,3.0,2015-12-31
397,4.0,4.0,3.0,2015-12-31
398,4.0,2.0,4.0,2015-12-31
399,1.0,4.0,1.0,2015-12-31
400,1.0,4.0,3.0,2015-12-31
401,2.0,1.0,3.0,2015-12-31
402,1.0,4.0,3.0,2015-12-31
403,4.0,4.0,2.0,2015-12-31
404,1.0,2.0,4.0,2015-12-31
405,3.0,3.0,2.0,2015-12-31
406,,4.0,2.0,2015-12-31
407,3.0,4.0,2.0,2015-12-31
408,4.0,4.0,2.0,2015-12-31
409,2.0,3.0,4.0,2015-12-31
410,2.0,4.0,2.0,2015-12-31
411,3.0,3.0,3.0,2015-12-31
412,4.0,1.0,1.0,2015-12-31
413,2.0,3.0,3.0,2015-12-31
414,2.0,2.0,3.0,2015-12-31
415,3.0,3.0,3.0,2015-12-31
416,3.0,1.0,3.0,2015-12-31
417,3.0,2.0,3.0,2015-12-31
418,2.0,3.0,4.0,2015-12-31
419,4.0,4.0,1.0,2015-12-31
420,1.0,2.0,2.0,2015-12-31
421,4.0,3.0,2.0,2015-12-31
422,4.0,3.0,2.0,2015-12-31
423,2.0,4.0,3.0,2015-12-31
424,4.0,1.0,3.0,2015-12-31
425,3.0,2.0,3.0,2015-12-31
426,3.0,2.0,3.0,2015-12-31
427,1.0,2.0,2.0,2015-12-31
428,3.0,1.0,3.0,2015-12-31
429,4.0,1.0,3.0,2015-12-31
430,3.0,3.0,3.0,2015-12-31
431,4.0,2.0,4.0,2015-12-31
432,1.0,1.0,3.0,2015-12-31
433,4.0,4.0,1.0,2015-12-31
434,4.0,2.0,3.0,2015-12-31
435,3.0,1.0,4.0,2015-12-31
436,3.0,4.0,3.0,2015-12-31
437,2.0,4.0,3.0,2015-12-31
438,1.0,3.0,1.0,2015-12-31
439,3.0,2.0,2.0,2015-12-31
440,3.0,4.0,3.0,2015-12-31
441,3.0,3.0,3.0,2015-12-31
442,4.0,4.0,2.0,2015-12-31
443,4.0,3.0,3.0,2015-12-31
444,3.0,3.0,4.0,2015-12-31
445,3.0,3.0,4.0,2015-12-31
446,3.0,4.0,3.0,2015-12-31
447,4.0,4.0,3.0,2015-12-31
448,1.0,3.0,3.0,2015-12-31
449,2.0,2.0,2.0,2015-12-31
450,3.0,3.0,4.0,2015-12-31
451,1.0,4.0,3.0,2015-12-31
452,3.0,1.0,3.0,2015-12-31
453,4.0,3.0,3.0,2015-12-31
454,4.0,1.0,3.0,2015-12-31
455,2.0,4.0,3.0,2015-12-31
456,4.0,4.0,3.0,2015-12-31
457,4.0,4.0,2.0,2015-12-31
458,3.0,2.0,3.0,2015-12-31
459,1.0,3.0,4.0,2015-12-31
460,3.0,2.0,3.0,2015-12-31
461,4.0,1.0,3.0,2015-12-31
462,4.0,4.0,3.0,2015-12-31
463,1.0,3.0,3.0,2015-12-31
464,4.0,3.0,3.0,2015-12-31
465,3.0,3.0,2.0,2015-12-31
466,4.0,3.0,3.0,2015-12-31
467,4.0,3.0,3.0,2015-12-31
468,3.0,2.0,1.0,2015-12-31
469,3.0,1.0,3.0,2015-12-31
470,2.0,4.0,3.0,2015-12-31
471,3.0,3.0,3.0,2015-12-31
472,3.0,3.0,2.0,2015-12-31
473,2.0,1.0,2.0,2015-12-31
474,4.0,1.0,3.0,2015-12-31
475,2.0,2.0,3.0,2015-12-31
476,4.0,4.0,3.0,2015-12-31
477,2.0,1.0,2.0,2015-12-31
478,1.0,3.0,3.0,2015-12-31
479,3.0,3.0,3.0,2015-12-31
480,4.0,3.0,3.0,2015-12-31
481,4.0,4.0,3.0,2015-12-31
482,1.0,4.0,3.0,2015-12-31
483,2.0,4.0,2.0,2015-12-31
484,4.0,3.0,,2015-12-31
485,1.0,4.0,3.0,2015-12-31
486,3.0,4.0,3.0,2015-12-31
487,1.0,2.0,1.0,2015-12-31
488,3.0,2.0,3.0,2015-12-31
489,2.0,3.0,3.0,2015-12-31
490,,4.0,3.0,2015-12-31
491,2.0,1.0,3.0,2015-12-31
492,1.0,4.0,3.0,2015-12-31
493,4.0,4.0,3.0,2015-12-31
494,4.0,3.0,3.0,2015-12-31
495,3.0,1.0,3.0,2015-12-31
496,4.0,1.0,3.0,2015-12-31
497,2.0,4.0,2.0,2015-12-31
498,4.0,4.0,4.0,2015-12-31
499,4.0,3.0,3.0,2015-12-31
500,2.0,4.0,2.0,2015-12-31
501,2.0,4.0,1.0,2015-12-31
502,2.0,2.0,3.0,2015-12-31
503,3.0,2.0,3.0,2015-12-31
504,1.0,3.0,2.0,2015-12-31
505,1.0,1.0,3.0,2015-12-31
506,3.0,3.0,3.0,2015-12-31
507,4.0,2.0,3.0,2015-12-31
508,3.0,3.0,3.0,2015-12-31
509,2.0,3.0,2.0,2015-12-31
510,4.0,2.0,2.0,2015-12-31
511,3.0,1.0,2.0,2015-12-31
512,1.0,3.0,3.0,2015-12-31
513,4.0,4.0,3.0,2015-12-31
514,3.0,3.0,3.0,2015-12-31
515,1.0,3.0,3.0,2015-12-31
516,4.0,4.0,2.0,2015-12-31
517,3.0,1.0,4.0,2015-12-31
518,3.0,4.0,3.0,2015-12-31
519,4.0,4.0,3.0,2015-12-31
520,3.0,1.0,2.0,2015-12-31
521,4.0,1.0,3.0,2015-12-31
522,1.0,3.0,4.0,2015-12-31
523,2.0,1.0,2.0,2015-12-31
524,1.0,1.0,3.0,2015-12-31
525,3.0,1.0,2.0,2015-12-31
526,2.0,3.0,3.0,2015-12-31
527,3.0,3.0,2.0,2015-12-31
528,1.0,4.0,3.0,2015-12-31
529,1.0,3.0,3.0,2015-12-31
530,4.0,2.0,3.0,2015-12-31
531,3.0,3.0,4.0,2015-12-31
532,2.0,1.0,3.0,2015-12-31
533,4.0,4.0,3.0,2015-12-31
534,4.0,1.0,3.0,2015-12-31
535,1.0,3.0,3.0,2015-12-31
536,1.0,3.0,2.0,2015-12-31
537,1.0,4.0,2.0,2015-12-31
538,4.0,4.0,3.0,2015-12-31
539,4.0,4.0,4.0,2015-12-31
540,1.0,3.0,2.0,2015-12-31
541,1.0,2.0,3.0,2015-12-31
542,4.0,1.0,3.0,2015-12-31
543,1.0,2.0,3.0,2015-12-31
544,4.0,3.0,3.0,2015-12-31
545,4.0,2.0,3.0,2015-12-31
546,3.0,4.0,3.0,2015-12-31
547,1.0,4.0,2.0,2015-12-31
548,2.0,3.0,3.0,2015-12-31
549,2.0,2.0,3.0,2015-12-31
550,3.0,3.0,3.0,2015-12-31
551,3.0,4.0,3.0,2015-12-31
552,4.0,2.0,2.0,2015-12-31
553,1.0,3.0,3.0,2015-12-31
554,4.0,2.0,3.0,2015-12-31
555,3.0,1.0,3.0,2015-12-31
556,1.0,4.0,3.0,2015-12-31
557,3.0,3.0,4.0,2015-12-31
558,4.0,2.0,4.0,2015-12-31
559,3.0,2.0,2.0,2015-12-31
560,1.0,4.0,3.0,2015-12-31
561,3.0,4.0,3.0,2015-12-31
562,1.0,2.0,1.0,2015-12-31
563,4.0,4.0,3.0,2015-12-31
564,4.0,2.0,3.0,2015-12-31
565,4.0,3.0,2.0,2015-12-31
566,4.0,2.0,2.0,2015-12-31
567,2.0,4.0,3.0,2015-12-31
568,2.0,4.0,2.0,2015-12-31
569,3.0,3.0,4.0,2015-12-31
570,3.0,3.0,3.0,2015-12-31
571,3.0,3.0,3.0,2015-12-31
572,1.0,1.0,3.0,2015-12-31
573,2.0,4.0,3.0,2015-12-31
574,3.0,3.0,2.0,2015-12-31
575,3.0,4.0,3.0,2015-12-31
576,4.0,3.0,3.0,2015-12-31
577,2.0,3.0,2.0,2015-12-31
578,3.0,3.0,1.0,2015-12-31
579,4.0,1.0,1.0,2015-12-31
580,2.0,3.0,2.0,2015-12-31
581,3.0,1.0,2.0,2015-12-31
582,2.0,1.0,4.0,2015-12-31
583,4.0,3.0,3.0,2015-12-31
584,4.0,2.0,3.0,2015-12-31
585,3.0,4.0,2.0,2015-12-31
586,1.0,4.0,3.0,2015-12-31
587,3.0,,3.0,2015-12-31
588,3.0,4.0,1.0,2015-12-31
589,3.0,2.0,4.0,2015-12-31
590,4.0,1.0,3.0,2015-12-31
591,4.0,4.0,4.0,2015-12-31
592,1.0,3.0,2.0,2015-12-31
593,3.0,1.0,3.0,2015-12-31
594,4.0,1.0,3.0,2015-12-31
595,2.0,4.0,3.0,2015-12-31
596,3.0,1.0,3.0,2015-12-31
597,1.0,3.0,2.0,2015-12-31
598,4.0,4.0,2.0,2015-12-31
599,1.0,3.0,2.0,2015-12-31
600,3.0,3.0,3.0,2015-12-31
601,4.0,3.0,3.0,2015-12-31
602,2.0,4.0,2.0,2015-12-31
603,3.0,4.0,3.0,2015-12-31
604,3.0,1.0,3.0,2015-12-31
605,4.0,3.0,3.0,2015-12-31
606,2.0,3.0,3.0,2015-12-31
607,1.0,1.0,1.0,2015-12-31
608,3.0,1.0,3.0,2015-12-31
609,2.0,2.0,3.0,2015-12-31
610,4.0,1.0,,2015-12-31
611,4.0,1.0,3.0,2015-12-31
612,4.0,2.0,3.0,2015-12-31
613,3.0,1.0,3.0,2015-12-31
614,4.0,2.0,1.0,2015-12-31
615,2.0,3.0,2.0,2015-12-31
616,3.0,3.0,3.0,2015-12-31
617,3.0,3.0,2.0,2015-12-31
618,4.0,4.0,3.0,2015-12-31
619,3.0,4.0,3.0,2015-12-31
620,4.0,4.0,2.0,2015-12-31
621,4.0,1.0,4.0,2015-12-31
622,2.0,4.0,3.0,2015-12-31
623,3.0,2.0,3.0,2015-12-31
624,4.0,3.0,3.0,2015-12-31
625,3.0,1.0,3.0,2015-12-31
626,1.0,4.0,3.0,2015-12-31
627,2.0,2.0,4.0,2015-12-31
628,3.0,4.0,3.0,2015-12-31
629,4.0,2.0,3.0,2015-12-31
630,1.0,1.0,3.0,2015-12-31
631,3.0,4.0,2.0,2015-12-31
632,1.0,1.0,2.0,2015-12-31
633,4.0,3.0,1.0,2015-12-31
634,1.0,4.0,3.0,2015-12-31
635,1.0,2.0,4.0,2015-12-31
636,1.0,4.0,3.0,2015-12-31
637,4.0,4.0,3.0,2015-12-31
638,3.0,1.0,2.0,2015-12-31
639,3.0,1.0,3.0,2015-12-31
640,3.0,4.0,3.0,2015-12-31
641,3.0,4.0,3.0,2015-12-31
642,1.0,3.0,4.0,2015-12-31
643,3.0,2.0,2.0,2015-12-31
644,4.0,2.0,2.0,2015-12-31
645,1.0,3.0,3.0,2015-12-31
646,3.0,4.0,3.0,2015-12-31
647,4.0,4.0,4.0,2015-12-31
648,4.0,4.0,2.0,2015-12-31
649,3.0,3.0,2.0,2015-12-31
650,2.0,2.0,3.0,2015-12-31
651,4.0,3.0,3.0,2015-12-31
652,2.0,4.0,3.0,2015-12-31
653,4.0,3.0,3.0,2015-12-31
654,3.0,4.0,3.0,2015-12-31
655,3.0,4.0,2.0,2015-12-31
656,1.0,2.0,3.0,2015-12-31
657,4.0,2.0,3.0,2015-12-31
658,1.0,3.0,1.0,2015-12-31
659,4.0,2.0,3.0,2015-12-31
660,3.0,1.0,3.0,2015-12-31
661,4.0,2.0,2.0,2015-12-31
662,4.0,4.0,2.0,2015-12-31
663,3.0,2.0,4.0,2015-12-31
664,4.0,3.0,2.0,2015-12-31
